page,text
1,
2,
3,"Para Ann Druyan.
Na vastidão do espaço e na imensidão do tempo,
é uma alegria compartilhar um planeta 
e uma época com Annie.
"
4,"Sumário
Reflexões sobre Cosmos, de Carl Sagan — Neil deGrasse Tyson
Prefácio — Ann Druyan
Introdução
1. As margens do oceano cósmico
2. Uma voz na fuga cósmica
3. A harmonia de mundos
4. Céu e inferno
5. Blues para um planeta vermelho
6. Histórias de viajantes
7. A espinha dorsal da noite
8. Viagens no espaço e no tempo
9. A vida das estrelas
10. Na beira da eternidade
11. A persistência da memória
12. Encyclopaedia Galactica
13. Quem fala em nome da Terra?
Caderno de imagens
Agradecimentos
Notas
Apêndice 1: Reductio ad absurdum e a raiz quadrada de dois
Apêndice 2: Os cinco sólidos pitagóricos
Leitura complementar
Créditos das imagens
"
5,"Sobre o autor
"
6,"Reflexões sobre Cosmos, de Carl Sagan
Neil deGrasse Tyson*
Nem todo aquele que consegue impactar corações e mentes de uma
geração inteira terá essa aceitação de sua influência nas gerações posteriores.
O continuado sucesso de Cosmos, a obra-prima de Carl Sagan, depõe
fortemente a favor da afabilidade e inteligência de seu autor. Mas também
revela uma ânsia oculta de todos nós por conhecer o lugar que ocupamos no
universo e compreender por que isso é tão importante em termos
intelectuais, culturais e emocionais.
Essas propriedades distinguem a obra de Carl Sagan e seus colaboradores
de todas as outras iniciativas de divulgação científica. A maior parte dos bons
livros do gênero lhe ensina o que o autor supõe que você deva saber no
campo de sua especialização — aquilo que é “quente”, que é interessante —
numa linguagem clara e simples. Mas raramente essa informação tem o cunho
de algo maravilhoso, que é o fundamento da visão de mundo de Cosmos. Seria
ousadia minha afirmar que Cosmos maneja esse poder de uma forma que
influenciou de maneira profunda o modo como observamos, interpretamos e
conduzimos nossas vidas?
Um dos fatos menos observados no que concerne a Cosmos, mas que talvez
seja sua mais significativa contribuição à cultura humana, é como essa obra
repetidas vezes poliniza, cruzando e entrelaçando, ciências tradicionais —
astronomia, biologia, química e geologia. Tomados separadamente, cada um
desses campos é nobre e consagrado pelo tempo. Mas quando vistos em
conjunto — quando Cosmos os entretece numa tapeçaria de concepções sobre
nosso lugar no universo —, sua justaposição torna-se potente e indelével.
Cosmos foi um dos primeiros, se não o primeiro, nesse empreendimento. Nas
"
7,"décadas que se seguiram à sua publicação, veríamos o surgimento de campos
de estudo híbridos, como a astrobiologia, a física de astropartículas, a
astroquímica, a geologia planetária — alguns ainda vestindo seus hifens ou
juntando seus termos.
Porém a publicação e o sucesso de vendas de Cosmos realizou muito mais
do que isso. O tratamento que o livro dá aos temas científicos está sempre
mesclado com outros campos de estudo tradicionais, como história,
antropologia, arte e filosofia, mostrando pela primeira vez como e por que os
leitores devem abranger todas as formas de ciência que importam em nossa
cultura.
Na época, não havia nada mais inovador, mais edificante ou mais
capacitante do que os temas e as mensagens de Cosmos. Talvez pela primeira
vez, em qualquer mídia, a pessoa que lhe estava ensinando ciência — Carl
Sagan — preocupava-se com os intricados caminhos mentais que podem nos
privar de uma forma racional de pensar. Sua motivação era falar com você,
não lhe dar uma aula. Nesse nível de conforto pedagógico, milhões de
pessoas por todo o mundo convidaram sua imagem televisiva a entrar em
suas salas de estar, e suas palavras impressas a compartilhar suas poltronas de
leitura.
Quando Cosmos apareceu pela primeira vez, em 1980, a corrida
armamentista da Guerra Fria estava diminuindo, mas assim mesmo
continuava a manter as nações do mundo reféns de um arsenal nuclear de
imenso poder destrutivo, oriundo das mentes de físicos. A exploração
espacial, contudo, ainda era promissora. A Nasa já havia pousado a Viking em
Marte, sete anos depois de termos caminhado na Lua. E as sondas espaciais
gêmeas Voyager prosseguiam em seu voo de passagem pelos planetas jovianos,
em seu caminho de saída do sistema solar. Isso tudo eram notícias dignas de
manchetes. Mas muito mais ainda estava por vir. O ônibus espacial ainda não
tinha sido lançado. A Estação Espacial Internacional só existia no papel. O
Telescópio Espacial Hubble estava a onze anos de ser projetado. Os primeiros
exoplanetas — ou planetas extrassolares, que orbitam outros sóis, que não o
nosso — estavam a quinze anos de serem detectados. A rede mundial de
computadores ainda estava uma década distante de se tornar uma utilidade
"
8,"doméstica. E mais dezenas de missões espaciais ainda seriam lançadas e
chegariam a seus respectivos destinos.
Num campo que se desenvolve com tanta rapidez como a astrofísica,
poderíamos pensar ser impossível escrever sobre ele um tratado atemporal.
Mas em Cosmos você nunca está focado na última palavra do
desenvolvimento da ciência. Isso está sempre mudando. Em vez disso, o foco
é aquilo que a épica aventura da investigação científica significa para a Terra,
para nossa espécie — para você. E essa receita funciona em qualquer época,
em qualquer lugar, em qualquer geração.
* Neil deGrasse Tyson é astrofísico do Museu Americano de História Natural, onde atua como diretor
Frederick P. Rose do Planetário Hayden. Foi o apresentador e narrador do relançamento na TV, no século
XXI, da série Cosmos, transmitida pelo canal FOX em 2014.
"
9,"Prefácio
Ann Druyan*
Uma vez estive na beira do oceano cósmico com Carl Sagan.
Quarenta anos atrás tremíamos ao sol nos penhascos batidos pelo vento de
Monterey, na costa do Pacífico no norte da Califórnia, junto com nosso
coescritor, o astrônomo Steven Soter, e uma pequena equipe da televisão.
Brigávamos com as provas tipográficas — com 65 centímetros de
comprimento — deste livro, que se agitavam ao vento, furiosas, enquanto
tentávamos não largar os cartões que eu e Steve tínhamos preparado para a
fala de Carl no programa da TV. (O livro e a série de TV original que o
acompanhou em 1980 foram criados ao mesmo tempo num frenesi que durou
três anos, embora cada um deles contenha passagens e sequências que não
existem no outro.) As páginas de roteiro e os manuscritos eram únicos em
seu gênero, naquela época de relativo low-tech. A cada lufada vinda das ondas
que brilhavam na luz, as folhas ameaçavam levantar voo em direção ao mar,
como os dentes-de-leão que Carl ficava soprando para o cosmos.
As cenas que escrevemos e filmamos naquele dia acabaram constituindo a
abertura do programa e as primeiras palavras do livro: “O cosmos é tudo o
que existiu, existe ou existirá”.
Estávamos entrando conscientemente num ritmo bíblico, com palavras que
abrangeriam o ambicioso âmbito territorial de nossas explorações no espaço
e no tempo. Começar a saga de 40 mil gerações de pesquisadores num mundo
minúsculo tentando encontrar sua posição no cosmos exigia nada menos do
que um épico floreio.
Isso se tornou o “Bem-vindo a bordo” numa viagem pessoal na nave da
imaginação, viagem que 1 bilhão de pessoas fizeram, e ainda fazem, em
"
10,"grande número, em quase cada uma das línguas faladas em nosso “pálido
ponto azul”.** Desde o outono de 1980, em suas duas manifestações, Cosmos
mobilizou multidões para os domínios mais extremos de nossa compreensão
do 
universo, 
levando-as 
a 
lugares 
inimaginavelmente 
pequenos 
e
incompreensivelmente vastos.
Alguns fundamentalistas religiosos acharam que essa primeira linha era
ofensiva. Para eles, isso seria uma advertência de que Carl pretendia roubar a
primazia deles quanto aos conceitos sobre o universo. Eles não estavam longe
da verdade. Como em tudo que Carl escreveu, a ciência de Cosmos é sólida,
com grandes bandeiras vermelhas retóricas advertindo o leitor nos casos em
que o autor está se aventurando em especulações. (E quase quarenta anos
depois, quão espantosamente proféticas têm sido a maioria das conjecturas
de Sagan sobre tudo, desde as mudanças climáticas na Terra, as ambiguidades
que o VikingLander descobriu em Marte, até seus sonhos sobre o que poderia
estar nos aguardando na lua de Saturno, Titã.) Mas Carl não parou por aí.
O universo revelado pelo implacável mecanismo de correção de erros da
ciência era para ele infinitamente preferível às hipóteses não testadas da
crença tradicional. Para Carl, o “espiritual” tinha de ter raízes na realidade
da natureza. Ele prezava essas ideias sobre o cosmos que permaneciam, após
os mais rigorosos experimentos e a mais rigorosa observação. O insight
científico o fazia sentir algo, uma sensação crescente, um reconhecimento que
ele só podia comparar ao que temos quando nos apaixonamos. E ele
costumava dizer: “Quando você está apaixonado, você quer contar isso ao
mundo”.
Esse é o grande e aberto abraço de boas-vindas de Cosmos, tão longe do
tédio mortal de uma aula de ciências em que se vive consultando o relógio
quanto Titã está da Terra. A questão é não ter medo de levar as descobertas
da ciência para o coração.
Para muitos, Cosmos é o primeiro encontro com o universo, de que você
pensava estar de antemão excluído porque não é bom em matemática, ou
porque vive num lugar onde não há cientistas que o convidem a entrar. Carl
queria que todos embarcassem nessa viagem, experimentassem o poder da
visão científica e as maravilhas que ela revela. Seu segredo foi reevocar a
"
